  Frame NC3-PO4 PO4-GL1 GL1-GL2 GL1-C1B GL2-C1A C1A-D2A D2A-C3A C3A-C4A C1B-C2B C2B-C3B C3B-C4B
-----------------------------------------------------------------------------------------------
     88  -0.163   0.621  -0.211   0.309  -0.085   0.415   0.227   0.140   0.449   0.354   0.235
     89  -0.144   0.623  -0.191   0.302  -0.083   0.412   0.191   0.174   0.438   0.335   0.215
     90  -0.124   0.624  -0.191   0.286  -0.060   0.389   0.223   0.120   0.457   0.353   0.234
     91  -0.165   0.634  -0.228   0.298  -0.067   0.428   0.234   0.163   0.409   0.344   0.199
     92  -0.140   0.625  -0.214   0.293  -0.062   0.395   0.256   0.189   0.499   0.395   0.264
     93  -0.148   0.609  -0.182   0.318  -0.100   0.382   0.286   0.207   0.476   0.392   0.252
     94  -0.138   0.637  -0.200   0.261  -0.061   0.423   0.192   0.178   0.440   0.346   0.216
     95  -0.142   0.646  -0.205   0.292  -0.049   0.409   0.194   0.187   0.440   0.305   0.150
     96  -0.140   0.634  -0.230   0.283  -0.053   0.418   0.200   0.162   0.457   0.401   0.182
     97  -0.157   0.613  -0.224   0.266  -0.047   0.428   0.237   0.182   0.470   0.324   0.188
     98  -0.166   0.629  -0.199   0.254  -0.043   0.361   0.248   0.178   0.434   0.381   0.272
     99  -0.153   0.636  -0.211   0.310  -0.071   0.397   0.252   0.200   0.414   0.350   0.144
    100  -0.129   0.624  -0.196   0.326  -0.087   0.418   0.249   0.199   0.416   0.395   0.270
    101  -0.127   0.635  -0.218   0.301  -0.062   0.397   0.238   0.211   0.454   0.374   0.245
    102  -0.119   0.642  -0.216   0.308  -0.045   0.398   0.209   0.175   0.492   0.393   0.233
    103  -0.137   0.631  -0.205   0.271  -0.043   0.422   0.242   0.194   0.463   0.344   0.198
    104  -0.115   0.631  -0.206   0.288  -0.023   0.407   0.214   0.178   0.459   0.338   0.219
    105  -0.098   0.591  -0.203   0.276  -0.065   0.411   0.241   0.191   0.438   0.307   0.182
    106  -0.164   0.636  -0.201   0.302  -0.075   0.426   0.190   0.173   0.479   0.350   0.222
    107  -0.148   0.622  -0.232   0.300  -0.048   0.424   0.217   0.150   0.472   0.381   0.174
    108  -0.182   0.630  -0.217   0.278  -0.058   0.381   0.271   0.185   0.459   0.366   0.230
    109  -0.114   0.612  -0.210   0.258  -0.056   0.395   0.205   0.157   0.417   0.353   0.210
    110  -0.134   0.643  -0.214   0.276  -0.045   0.416   0.229   0.177   0.448   0.390   0.255
    111  -0.138   0.602  -0.202   0.286  -0.046   0.414   0.252   0.135   0.456   0.355   0.202
    112  -0.110   0.612  -0.239   0.272  -0.019   0.398   0.245   0.181   0.438   0.386   0.210
    113  -0.115   0.636  -0.218   0.311  -0.043   0.414   0.220   0.189   0.481   0.363   0.252
    114  -0.131   0.615  -0.210   0.297  -0.030   0.375   0.258   0.210   0.424   0.363   0.228
    115  -0.147   0.658  -0.219   0.328  -0.091   0.426   0.214   0.149   0.450   0.395   0.230
    116  -0.092   0.601  -0.204   0.308  -0.069   0.391   0.239   0.171   0.454   0.357   0.231
    117  -0.124   0.623  -0.178   0.324  -0.088   0.425   0.204   0.150   0.452   0.356   0.202
    118  -0.143   0.631  -0.228   0.304  -0.046   0.460   0.221   0.116   0.450   0.343   0.225
    119  -0.120   0.628  -0.208   0.271  -0.044   0.416   0.200   0.161   0.441   0.354   0.183
    120  -0.140   0.594  -0.227   0.271  -0.044   0.460   0.197   0.157   0.476   0.384   0.215
    121  -0.127   0.615  -0.198   0.292  -0.048   0.392   0.227   0.156   0.450   0.383   0.269
    122  -0.158   0.645  -0.222   0.275  -0.014   0.444   0.227   0.192   0.466   0.355   0.208
